ID;R;G;B;Country;StateName;ProvinceName
71;243;119;77;Afghanistan;Faryab;Khan Char Bagh
72;218;204;173;Afghanistan;Faryab;Khwaja Sabz Posh
73;64;99;249;Afghanistan;Faryab;Kohistan
74;174;254;93;Afghanistan;Faryab;Maymana
75;169;240;210;Afghanistan;Faryab;Pashtun Kot
76;80;175;65;Afghanistan;Faryab;Qaram Qol
77;218;119;51;Afghanistan;Faryab;Qaysar
78;219;177;74;Afghanistan;Faryab;Shirin Tagab
79;162;175;189;Afghanistan;Ghazni;Ab Band
80;88;163;148;Afghanistan;Ghazni;Ajristan
81;220;170;179;Afghanistan;Ghazni;Andar
82;207;242;140;Afghanistan;Ghazni;Dihyak
83;248;50;83;Afghanistan;Ghazni;Gelan
84;170;149;67;Afghanistan;Ghazni;Ghazni
85;98;164;83;Afghanistan;Ghazni;Giro
86;168;203;146;Afghanistan;Ghazni;Jaghatu
87;153;221;218;Afghanistan;Ghazni;Jaghuri
88;228;131;108;Afghanistan;Ghazni;Malistan
89;113;110;104;Afghanistan;Ghazni;Muqur
90;126;216;116;Afghanistan;Ghazni;Nawa
91;130;173;109;Afghanistan;Ghazni;Nawur
92;79;198;221;Afghanistan;Ghazni;Qarabagh
93;95;234;121;Afghanistan;Ghazni;Zana Khan
94;248;102;166;Afghanistan;Ghor;Chaghcharan
95;59;191;91;Afghanistan;Ghor;Lal Wa Sarjangal
96;194;172;236;Afghanistan;Ghor;Pasaband
97;207;182;120;Afghanistan;Ghor;Saghar
98;163;88;128;Afghanistan;Ghor;Shahrak
99;230;100;48;Afghanistan;Ghor;Taywara
100;194;222;254;Afghanistan;Ghor;Tulak
101;113;99;186;Afghanistan;Hilmand;Bughran
102;46;214;137;Afghanistan;Hilmand;Disho
103;127;124;101;Afghanistan;Hilmand;Garmser
104;219;123;116;Afghanistan;Hilmand;Kajaki
105;210;52;186;Afghanistan;Hilmand;Lashkargah
106;203;252;188;Afghanistan;Hilmand;Musa Qala
107;141;138;83;Afghanistan;Hilmand;Nad Ali
108;155;199;154;Afghanistan;Hilmand;Nahri Sarraj
109;87;110;152;Afghanistan;Hilmand;Naw Zad
110;215;187;250;Afghanistan;Hilmand;Nawa-i-Barak Zayi
111;112;182;203;Afghanistan;Hilmand;Reg
112;229;142;58;Afghanistan;Hilmand;Sangin
113;227;217;161;Afghanistan;Hilmand;Washer
114;125;119;157;Afghanistan;Hirat;Adraskan
115;89;141;210;Afghanistan;Hirat;Chishti Sharif
116;161;82;55;Afghanistan;Hirat;Farsi
117;92;239;54;Afghanistan;Hirat;Ghoryan
118;161;129;87;Afghanistan;Hirat;Gulran
119;123;201;192;Afghanistan;Hirat;Guzara
120;132;194;60;Afghanistan;Hirat;Hirat City
121;229;135;254;Afghanistan;Hirat;Injil
122;46;136;52;Afghanistan;Hirat;Karukh
123;172;107;66;Afghanistan;Hirat;Kuhsan
124;208;107;50;Afghanistan;Hirat;Kushk
125;163;132;199;Afghanistan;Hirat;Kushki Kuhna
126;138;56;76;Afghanistan;Hirat;Obe
127;48;109;188;Afghanistan;Hirat;Pashtun Zarghun
128;59;170;224;Afghanistan;Hirat;Shindand
129;180;104;203;Afghanistan;Hirat;Zinda Jan
130;86;94;128;Afghanistan;Jawzjan;Aqcha
131;52;192;97;Afghanistan;Jawzjan;Darzab
132;72;69;165;Afghanistan;Jawzjan;Fayz abad
133;46;213;74;Afghanistan;Jawzjan;Khamyab
134;104;124;214;Afghanistan;Jawzjan;Khwaja Du Koh
135;46;108;235;Afghanistan;Jawzjan;Mardyan
136;75;225;137;Afghanistan;Jawzjan;Mingajik
137;145;167;66;Afghanistan;Jawzjan;Qarqin
138;83;207;197;Afghanistan;Jawzjan;Shibirghan
139;80;105;229;Afghanistan;Kabul;Bagrami
140;228;145;77;Afghanistan;Kabul;Chahar Asyab
141;120;241;159;Afghanistan;Kabul;Dih Sabz
142;144;252;59;Afghanistan;Kabul;Gul dara
143;128;225;110;Afghanistan;Kabul;Istalif
144;78;102;234;Afghanistan;Kabul;Kabul City
145;175;151;215;Afghanistan;Kabul;Kalakan
146;195;168;57;Afghanistan;Kabul;Khaki Jabar
147;189;110;101;Afghanistan;Kabul;Mirbacha Kot
148;252;254;253;Afghanistan;Kabul;Musayi
149;222;161;194;Afghanistan;Kabul;Paghman
150;142;91;93;Afghanistan;Kabul;Qarabagh
151;140;132;242;Afghanistan;Kabul;Shakar Dara
152;239;249;78;Afghanistan;Kabul;Surobi
153;92;204;211;Afghanistan;Kandahar;Arghandab
154;96;144;254;Afghanistan;Kandahar;Arghistan
155;89;231;81;Afghanistan;Kandahar;Daman
156;52;232;113;Afghanistan;Kandahar;Ghorak
157;235;235;96;Afghanistan;Kandahar;Kandahar City
158;138;165;124;Afghanistan;Kandahar;Khakrez
159;156;82;118;Afghanistan;Kandahar;Maruf
160;76;134;188;Afghanistan;Kandahar;Maywand
161;114;73;101;Afghanistan;Kandahar;Panjwayi
162;182;106;197;Afghanistan;Kandahar;Reg
163;124;89;107;Afghanistan;Kandahar;Shah Wali Kot
164;244;211;153;Afghanistan;Kandahar;Shorabak
165;73;213;193;Afghanistan;Kandahar;Spin Boldak
166;232;108;63;Afghanistan;Kapisa;Alasay
167;98;126;67;Afghanistan;Kapisa;Kohband
168;250;76;114;Afghanistan;Kapisa;Kohistan
169;170;166;131;Afghanistan;Kapisa;Mahmud Raqi
170;177;57;133;Afghanistan;Kapisa;Nijrab
171;108;150;140;Afghanistan;Kapisa;Tagab
172;83;252;124;Afghanistan;Khost;Bak
173;151;59;138;Afghanistan;Khost;Gurbuz
174;106;158;154;Afghanistan;Khost;Jaji Maydan
175;150;64;200;Afghanistan;Khost;Khost (Matun)
176;49;61;93;Afghanistan;Khost;Mando Zayi
177;107;245;142;Afghanistan;Khost;Musa Khel
178;131;112;220;Afghanistan;Khost;Nadir Shah Kot
179;241;185;152;Afghanistan;Khost;Qalandar
180;159;148;230;Afghanistan;Khost;Sabari
181;194;133;65;Afghanistan;Khost;Spera
182;203;175;224;Afghanistan;Khost;Tani
183;72;70;213;Afghanistan;Khost;Tere Zayi
184;167;81;126;Afghanistan;Kunar;Asad abad
185;84;58;102;Afghanistan;Kunar;Bar Kunar
186;142;212;195;Afghanistan;Kunar;Chapa Dara
187;81;104;254;Afghanistan;Kunar;Chawkay
188;145;125;196;Afghanistan;Kunar;Dangam
189;68;150;229;Afghanistan;Kunar;Dara-i-Pech
190;60;108;141;Afghanistan;Kunar;Khas Kunar
191;221;170;156;Afghanistan;Kunar;Marwara
192;50;237;197;Afghanistan;Kunar;Nali
193;193;143;65;Afghanistan;Kunar;Narang Wa Badil
194;114;179;200;Afghanistan;Kunar;Nurgal
195;48;134;219;Afghanistan;Kunar;Sirkanay
196;185;201;127;Afghanistan;Kunduz;Ali abad
197;101;88;103;Afghanistan;Kunduz;Char Dara
198;115;56;157;Afghanistan;Kunduz;Dashti Archi
199;170;98;52;Afghanistan;Kunduz;Hazrati Imam
200;233;73;199;Afghanistan;Kunduz;Khan Abad
201;211;134;50;Afghanistan;Kunduz;Kunduz
202;191;125;156;Afghanistan;Kunduz;Qala-I-Zal
203;161;129;140;Afghanistan;Laghman;Alingar
204;233;57;96;Afghanistan;Laghman;Alishing
205;237;196;199;Afghanistan;Laghman;Dawlat Shah
206;46;102;79;Afghanistan;Laghman;Mihtarlam
207;207;183;187;Afghanistan;Laghman;Qarghayi
208;162;173;232;Afghanistan;Logar;Baraki Barak
209;120;189;224;Afghanistan;Logar;Charkh
210;115;190;171;Afghanistan;Logar;Khushi
211;152;254;247;Afghanistan;Logar;Muhammad Agha
212;97;95;149;Afghanistan;Logar;Puli Alam
213;193;214;207;Afghanistan;Nangarhar;Achin
214;237;52;76;Afghanistan;Nangarhar;Bati Kot
215;111;123;62;Afghanistan;Nangarhar;Chaparhar
216;236;48;119;Afghanistan;Nangarhar;Dara-I-Nur
217;239;110;232;Afghanistan;Nangarhar;Dih Bala
218;162;83;155;Afghanistan;Nangarhar;Dur Baba
219;213;136;176;Afghanistan;Nangarhar;Goshta
220;92;142;187;Afghanistan;Nangarhar;Hisarak
221;75;203;232;Afghanistan;Nangarhar;Jalal abad
222;139;126;92;Afghanistan;Nangarhar;Kama
223;204;89;202;Afghanistan;Nangarhar;Khogyani
224;238;131;108;Afghanistan;Nangarhar;Kuz Kunar
225;228;251;97;Afghanistan;Nangarhar;Lal Pur
226;221;250;47;Afghanistan;Nangarhar;Muhmand Dara
227;68;182;106;Afghanistan;Nangarhar;Nazyan
228;104;121;208;Afghanistan;Nangarhar;Pachir Wa Agam
229;138;143;200;Afghanistan;Nangarhar;Rodat
230;214;161;247;Afghanistan;Nangarhar;Sherzad
231;65;203;126;Afghanistan;Nangarhar;Shinwar
232;99;99;213;Afghanistan;Nangarhar;Surkh Rod
233;190;52;118;Afghanistan;Nimroz;Chakhansur
234;189;185;101;Afghanistan;Nimroz;Char Burjak
235;170;213;107;Afghanistan;Nimroz;Kang
236;221;251;77;Afghanistan;Nimroz;Khash Rod
237;236;176;200;Afghanistan;Nimroz;Zaranj
238;244;168;168;Afghanistan;Nuristan;Bargi Matal
239;234;151;48;Afghanistan;Nuristan;Kamdesh
240;92;209;136;Afghanistan;Nuristan;Mandol
241;149;203;117;Afghanistan;Nuristan;Nuristan
242;175;140;238;Afghanistan;Nuristan;Wama
243;118;155;195;Afghanistan;Nuristan;Waygal
244;56;117;181;Afghanistan;Paktika;Burmul
245;170;102;66;Afghanistan;Paktika;Dila
246;102;207;86;Afghanistan;Paktika;Gayan
247;203;73;182;Afghanistan;Paktika;Gomal
248;148;56;146;Afghanistan;Paktika;Mata Khan
249;184;180;47;Afghanistan;Paktika;Nika
250;204;106;99;Afghanistan;Paktika;Omna
251;105;124;121;Afghanistan;Paktika;Sar Hawza
252;222;239;74;Afghanistan;Paktika;Sarobi
253;232;105;125;Afghanistan;Paktika;Sharan
254;231;140;122;Afghanistan;Paktika;Urgun
255;142;45;193;Afghanistan;Paktika;Wazakhwa
256;133;101;185;Afghanistan;Paktika;Wolmamay
257;50;141;244;Afghanistan;Paktika;Zarghun Shahr
258;252;87;253;Afghanistan;Paktika;Ziluk
259;181;163;226;Afghanistan;Paktya;Azro
260;234;237;95;Afghanistan;Paktya;Chamkani
261;201;112;243;Afghanistan;Paktya;Dand Wa Patan
262;249;227;214;Afghanistan;Paktya;Gardez
263;183;103;93;Afghanistan;Paktya;Jadran
264;124;165;202;Afghanistan;Paktya;Jaji
265;101;246;101;Afghanistan;Paktya;Jani Khel
266;111;227;198;Afghanistan;Paktya;Lija Mangal
267;84;190;65;Afghanistan;Paktya;Sayid Karam
268;134;168;108;Afghanistan;Paktya;Shamul
269;119;116;73;Afghanistan;Paktya;Shwak
270;95;50;127;Afghanistan;Paktya;Zurmat
271;213;241;85;Afghanistan;Panjshir;Hisa-I-Awali Panjsher
272;134;219;156;Afghanistan;Panjshir;Hisa-I-Duwum Panjsher
273;188;211;194;Afghanistan;Panjshir;Panjsher
274;106;89;181;Afghanistan;Parwan;Bagram
275;252;66;129;Afghanistan;Parwan;Chaharikar
276;141;190;169;Afghanistan;Parwan;Ghorband
277;244;61;126;Afghanistan;Parwan;Jabalussaraj
278;78;223;253;Afghanistan;Parwan;Kohi Safi
279;206;252;146;Afghanistan;Parwan;Salang
280;86;221;65;Afghanistan;Parwan;Shekh Ali
281;91;82;131;Afghanistan;Parwan;Shinwari
282;130;71;152;Afghanistan;Parwan;Surkhi Parsa
283;234;56;184;Afghanistan;Samangan;Aybak
284;75;236;125;Afghanistan;Samangan;Dara-i-Suf
285;162;233;138;Afghanistan;Samangan;Hazrati Sultan
286;209;198;166;Afghanistan;Samangan;Khuram Wa Sarbagh
287;238;223;64;Afghanistan;Samangan;Royi Du Ab
288;127;153;174;Afghanistan;Sari Pul;Balkhab
289;109;95;140;Afghanistan;Sari Pul;Kohistanat
290;56;161;99;Afghanistan;Sari Pul;Sangcharak
291;84;199;219;Afghanistan;Sari Pul;Sar-i-Pul City
292;132;210;96;Afghanistan;Sari Pul;Sayyad
293;158;124;140;Afghanistan;Sari Pul;Sozma Qala
294;118;199;123;Afghanistan;Takhar;Bangi
295;115;73;147;Afghanistan;Takhar;Chah Ab
296;86;82;52;Afghanistan;Takhar;Chal
297;112;71;125;Afghanistan;Takhar;Darqad
298;86;197;119;Afghanistan;Takhar;Farkhar
299;67;175;254;Afghanistan;Takhar;Ishkamish
300;95;88;209;Afghanistan;Takhar;Kalafgan
301;199;65;86;Afghanistan;Takhar;Khwaja Ghar
302;56;55;110;Afghanistan;Takhar;Rustaq
303;127;69;97;Afghanistan;Takhar;Taluqan
304;154;124;180;Afghanistan;Takhar;Warsaj
305;56;255;50;Afghanistan;Takhar;Yangi Qala
306;101;89;173;Afghanistan;Uruzgan;Chora
307;128;103;243;Afghanistan;Uruzgan;Dihrawud
308;189;70;144;Afghanistan;Uruzgan;Khas Uruzgan
309;113;151;182;Afghanistan;Uruzgan;Nesh
310;163;137;67;Afghanistan;Uruzgan;Shahidi Hasas
311;245;58;166;Afghanistan;Uruzgan;Tirin Kot
312;212;238;210;Afghanistan;Wardak;Chak
313;126;186;190;Afghanistan;Wardak;Daymirdad
314;112;217;236;Afghanistan;Wardak;Hisa-i-Awali Bihsud
315;50;159;83;Afghanistan;Wardak;Jalrez
316;189;199;163;Afghanistan;Wardak;Markazi Bihsud
317;161;135;229;Afghanistan;Wardak;Maydan Shahr
318;100;115;192;Afghanistan;Wardak;Nirkh
319;202;178;123;Afghanistan;Wardak;Sayid Abad
320;89;255;78;Afghanistan;Zabul;Arghandab
321;214;204;122;Afghanistan;Zabul;Atghar
322;237;202;112;Afghanistan;Zabul;Daychopan
323;47;156;255;Afghanistan;Zabul;Mizan
324;223;119;141;Afghanistan;Zabul;Qalat
325;223;115;244;Afghanistan;Zabul;Shahjoy
326;123;164;51;Afghanistan;Zabul;Shamul zayi
327;98;103;248;Afghanistan;Zabul;Shinkay
328;237;128;121;Afghanistan;Zabul;Tarnak Wa Jaldak
329;238;253;220;Angola;Bengo;Ambriz
330;180;204;164;Angola;Bengo;Dande
331;167;55;182;Angola;Bengo;Icolo e Bengo
332;57;120;123;Angola;Bengo;Muxima
333;51;211;230;Angola;Bengo;Nambuangongo
334;139;200;151;Angola;Benguela;Baía Farta
335;228;202;83;Angola;Benguela;Balombo
336;245;175;169;Angola;Benguela;Benguela
337;148;80;119;Angola;Benguela;Bocoio
338;152;224;234;Angola;Benguela;Caiambambo
339;142;197;187;Angola;Benguela;Chongoroi
340;152;199;104;Angola;Benguela;Cubal
341;177;200;57;Angola;Benguela;Ganda
342;162;148;192;Angola;Benguela;Lobito
343;252;148;254;Angola;Bié;Andulo
344;53;72;183;Angola;Bié;Camacupa
345;235;146;167;Angola;Bié;Catabola
346;108;117;252;Angola;Bié;Chinguar
347;193;160;201;Angola;Bié;Chitembo
348;229;171;189;Angola;Bié;Cuemba
349;63;143;143;Angola;Bié;Cunhinga
350;236;185;184;Angola;Bié;Kuito
351;117;100;141;Angola;Bié;Nharea
352;192;111;194;Angola;Cabinda;Belize
353;235;110;215;Angola;Cabinda;Buco Zau
354;225;203;97;Angola;Cabinda;Cabinda
355;96;116;249;Angola;Cabinda;Landana
356;216;139;230;Angola;Cuando Cubango;Calai
357;47;198;106;Angola;Cuando Cubango;Cuangar
358;220;171;132;Angola;Cuando Cubango;Cuchi
359;222;86;220;Angola;Cuando Cubango;Cuito Cuanavale
360;186;119;188;Angola;Cuando Cubango;Dirico
361;103;176;107;Angola;Cuando Cubango;Mavinga
362;117;66;217;Angola;Cuando Cubango;Menongue
363;121;214;104;Angola;Cuando Cubango;Nancova
364;204;144;57;Angola;Cuando Cubango;Rivungo
365;103;224;114;Angola;Cuanza Norte;Ambaca
366;168;116;65;Angola;Cuanza Norte;Banga
367;115;55;145;Angola;Cuanza Norte;Bolongongo
368;237;63;102;Angola;Cuanza Norte;Bula Atumba
369;215;186;135;Angola;Cuanza Norte;Cambambe
370;132;169;57;Angola;Cuanza Norte;Cazengo
371;145;53;164;Angola;Cuanza Norte;Dembos
372;101;167;142;Angola;Cuanza Norte;Golungo Alto
373;190;237;231;Angola;Cuanza Norte;Lucala
374;193;97;182;Angola;Cuanza Norte;Ngonguembo
375;113;215;96;Angola;Cuanza Norte;Pango Aluquém
376;86;137;169;Angola;Cuanza Norte;Quiculungo
377;130;155;99;Angola;Cuanza Norte;Samba Cajú
378;218;150;185;Angola;Cuanza Sul;Amboim
379;73;148;185;Angola;Cuanza Sul;Cassongue
380;180;192;188;Angola;Cuanza Sul;Conda
381;182;73;88;Angola;Cuanza Sul;Ebo
382;117;82;116;Angola;Cuanza Sul;Libolo
383;181;184;74;Angola;Cuanza Sul;Mussende
384;135;218;229;Angola;Cuanza Sul;Porto Amboim
385;231;179;119;Angola;Cuanza Sul;Quibala
386;116;183;246;Angola;Cuanza Sul;Quilenda
387;155;46;190;Angola;Cuanza Sul;Seles
388;165;86;255;Angola;Cuanza Sul;Sumbe
389;137;128;220;Angola;Cuanza Sul;Waku Kungo
390;219;62;97;Angola;Cunene;Cahama
391;81;242;95;Angola;Cunene;Cuanhama
392;52;166;94;Angola;Cunene;Curoca
393;227;255;221;Angola;Cunene;Cuvelai
394;135;201;120;Angola;Cunene;Namakunde
395;64;62;227;Angola;Cunene;Ombadja
396;132;75;201;Angola;Huambo;Bailundo
397;96;222;88;Angola;Huambo;Caála
398;80;205;250;Angola;Huambo;Catchiungo
399;144;68;229;Angola;Huambo;Ekunha
400;194;171;199;Angola;Huambo;Huambo
401;233;65;205;Angola;Huambo;Londuimbale
402;60;127;143;Angola;Huambo;Longonjo
403;58;105;192;Angola;Huambo;Mungo
404;225;215;253;Angola;Huambo;Tchicala-Tcholoanga
405;52;184;109;Angola;Huambo;Tchindjenje
406;116;178;170;Angola;Huambo;Ukuma
407;234;115;150;Angola;Huíla;Caconda
408;223;76;171;Angola;Huíla;Caluquembe
409;124;87;108;Angola;Huíla;Chibia
410;98;205;204;Angola;Huíla;Chicomba
411;249;110;74;Angola;Huíla;Chipindo
412;122;72;252;Angola;Huíla;Gambos
413;69;101;120;Angola;Huíla;Humpata
414;189;201;196;Angola;Huíla;Jamba
415;110;88;158;Angola;Huíla;Kuvango
416;249;109;54;Angola;Huíla;Lubango
417;186;160;238;Angola;Huíla;Matala
418;226;99;99;Angola;Huíla;Quilengues
419;46;158;48;Angola;Huíla;Tchipungo
420;238;216;177;Angola;Luanda;Cacuaco
421;190;115;129;Angola;Luanda;Cazenga
422;126;243;57;Angola;Luanda;Ingombota
423;234;170;137;Angola;Luanda;Kilamba Kiaxi
424;169;113;106;Angola;Luanda;Maianga
425;94;110;251;Angola;Luanda;Rangel
426;78;116;140;Angola;Luanda;Samba
427;118;93;174;Angola;Luanda;Sambizanga
428;187;239;230;Angola;Luanda;Viana
429;223;123;74;Angola;Lunda Norte;Cambulo
430;241;66;86;Angola;Lunda Norte;Capenda
431;206;107;121;Angola;Lunda Norte;Caungula
432;146;53;158;Angola;Lunda Norte;Chitato
433;160;204;51;Angola;Lunda Norte;Cuango
434;132;151;221;Angola;Lunda Norte;Cuilo
435;250;49;59;Angola;Lunda Norte;Lubalo
436;68;108;66;Angola;Lunda Norte;Lucapa
437;69;128;242;Angola;Lunda Norte;Xá Muteba
438;224;50;128;Angola;Lunda Sul;Cacolo
439;191;117;88;Angola;Lunda Sul;Dala
440;83;78;96;Angola;Lunda Sul;Muconda
441;179;85;234;Angola;Lunda Sul;Saurimo
442;215;154;245;Angola;Malanje;Cacuzo
443;136;248;145;Angola;Malanje;Calandula
444;254;126;166;Angola;Malanje;Cambundi-Catembo
445;138;133;103;Angola;Malanje;Cangandala
446;230;144;128;Angola;Malanje;Caombo
447;183;183;181;Angola;Malanje;Cuaba Nzogo
448;133;55;101;Angola;Malanje;Cunda-dia-Baza
449;73;59;243;Angola;Malanje;Luquembo
450;181;250;82;Angola;Malanje;Malanje
451;246;141;104;Angola;Malanje;Marimba
452;96;225;96;Angola;Malanje;Massango
453;126;228;93;Angola;Malanje;Mucari
454;154;228;104;Angola;Malanje;Quela
455;84;117;121;Angola;Malanje;Quirima
456;198;252;84;Angola;Moxico;Alto Zambeze
457;160;236;252;Angola;Moxico;Camanongue
458;169;96;148;Angola;Moxico;Cameia
459;94;153;192;Angola;Moxico;Léua
460;166;234;137;Angola;Moxico;Luau
461;168;164;117;Angola;Moxico;Lucano
462;147;227;216;Angola;Moxico;Luchazes
463;183;194;124;Angola;Moxico;Lumbala-Nguimbo
464;225;254;153;Angola;Moxico;Moxico
465;148;185;204;Angola;Namibe;Bibala
466;164;66;91;Angola;Namibe;Camacuio
467;140;161;137;Angola;Namibe;Namibe
468;183;113;144;Angola;Namibe;Tombwa
469;69;227;98;Angola;Namibe;Virei
470;214;183;226;Angola;Uíge;Alto Cauale
471;162;143;215;Angola;Uíge;Ambuila
472;197;143;58;Angola;Uíge;Bembe
473;170;132;59;Angola;Uíge;Buengas
474;73;189;108;Angola;Uíge;Bungo
475;46;92;148;Angola;Uíge;Damba
476;118;47;73;Angola;Uíge;Maquela do Zombo
477;155;97;186;Angola;Uíge;Milunga
478;103;121;173;Angola;Uíge;Mucaba
479;182;67;129;Angola;Uíge;Negage
480;159;185;90;Angola;Uíge;Puri
481;115;162;202;Angola;Uíge;Quimbele
482;127;159;57;Angola;Uíge;Quitexe
483;95;81;248;Angola;Uíge;Sanza Pombo
484;59;54;123;Angola;Uíge;Songo
485;84;62;214;Angola;Uíge;Uíge
486;189;254;167;Angola;Zaire;Cuimba
487;102;231;124;Angola;Zaire;M'Banza Congo
488;113;144;252;Angola;Zaire;N'Zeto
489;185;63;56;Angola;Zaire;Noqui
490;64;57;180;Angola;Zaire;Soyo
491;171;206;78;Angola;Zaire;Tomboco
492;212;98;194;Åland;Archipelago;Föglö
493;51;61;137;Åland;Archipelago;Kökar
494;227;106;65;Åland;Archipelago;Kumlinge
495;169;52;195;Åland;Archipelago;NA
496;224;107;232;Åland;Countryside;Eckerö
497;104;119;65;Åland;Countryside;Hammarland
498;191;107;103;Åland;Countryside;Jomala
499;69;122;248;Åland;Countryside;Lemland
500;194;181;215;Åland;Countryside;Lumparland
501;137;71;105;Åland;Countryside;Saltvik
502;78;159;192;Åland;Countryside;Sund
503;227;212;123;Åland;Countryside;NA
504;136;239;113;Åland;Mariehamn;Mariehamn
505;91;219;150;Albania;Berat;Beratit
506;207;112;94;Albania;Berat;Kuçovës
507;172;155;210;Albania;Berat;Skraparit
508;179;73;236;Albania;Dibër;Bulqizës
509;81;162;78;Albania;Dibër;Dibrës
510;170;240;246;Albania;Dibër;Matit
511;240;66;122;Albania;Durrës;Durrësit
512;72;126;228;Albania;Durrës;Krujës
513;190;93;181;Albania;Elbasan;Elbasanit
514;125;216;62;Albania;Elbasan;Gramshit
515;76;155;212;Albania;Elbasan;Librazhdit
516;253;207;197;Albania;Elbasan;Peqinit
517;113;212;103;Albania;Fier;Fierit
518;98;232;215;Albania;Fier;Lushnjës
519;139;121;56;Albania;Fier;Mallakastrës
520;176;172;167;Albania;Gjirokastër;Gjirokastrës
521;93;81;103;Albania;Gjirokastër;Përmetit
522;92;196;145;Albania;Gjirokastër;Tepelenës
523;202;167;103;Albania;Korçë;Devollit
524;188;115;88;Albania;Korçë;Kolonjës
525;48;124;51;Albania;Korçë;Korçës
526;48;247;173;Albania;Korçë;Pogradecit
527;137;255;181;Albania;Kukës;Has
528;143;214;228;Albania;Kukës;Kukësit
529;146;233;131;Albania;Kukës;Tropojës
530;242;237;77;Albania;Lezhë;Kurbinit
531;185;138;58;Albania;Lezhë;Lezhës
532;218;150;169;Albania;Lezhë;Mirditës
533;116;177;195;Albania;Lezhë;Shkodrës
534;114;168;161;Albania;Shkodër;Malësi e Madhe
535;81;191;243;Albania;Shkodër;Pukës
536;192;97;181;Albania;Shkodër;Shkodrës
